imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,date,expName,psychopyVersion,frameRate,
1,barber,7,0,0,0,0,0,0,0,0,6.878426199982641,None,8.382245099986903,None,1,1,7,21,21,0,2,1,10.968291299999692,15.974781499971868,0.01061306003248319,0.5106130600324832,10.968291299999692,15.974781499971868,15.941597999975784,None,right,0.38587110000662506,15.941597999975784,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
1,barber,7,0,0,0,0,1,0,1,0,,,,,1,1,7,21,21,0,1,1,16.92462139998679,21.93664119997993,0.011546660010935739,0.5115466600109357,16.92462139998679,21.93664119997993,21.919713399984175,None,right,0.3894212000013795,21.919713399984175,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
1,barber,7,0,0,0,0,2,0,2,0,,,,,2,1,7,19.6875,20,0,2,1,22.91772349999519,27.931125999981305,0.009160260000498965,0.509160260000499,22.91772349999519,27.931125999981305,27.898629999981495,None,right,0.33322689999477006,27.898629999981495,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
1,barber,7,0,0,0,0,3,0,3,0,,,,,3,1,7,18.375,18,0,2,1,28.817495600000257,33.82622689998243,0.009801760024856776,0.5098017600248568,28.817495600000257,33.82622689998243,33.80989429997862,None,right,0.25810769997769967,33.80989429997862,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
1,barber,7,0,0,0,0,4,0,4,0,,,,,4,1,7,17.0625,17,0,2,1,34.676870399998734,39.688439499994274,0.006987260014284402,0.5069872600142844,34.676870399998734,39.688439499994274,39.67213839999749,None,right,0.3211936999869067,39.67213839999749,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
1,barber,7,0,0,0,0,5,0,5,0,,,,,5,-1,7,15.75,16,0,2,1,40.58860609997646,45.60035619998234,0.010863860050449148,0.5108638600504491,40.58860609997646,45.60035619998234,45.58373039998696,None,left,0.330202899989672,45.58373039998696,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
1,barber,7,0,0,0,0,6,0,6,0,,,,,2,1,7,19.6875,20,0,1,1,46.515323999978136,51.52896019999753,0.00814175998675637,0.5081417599867564,46.515323999978136,51.52896019999753,51.51232799998252,None,right,0.30893769999966025,51.51232799998252,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
1,barber,7,0,0,0,0,7,0,7,0,,,,,3,-1,7,18.375,18,0,1,1,52.41308329999447,57.424006499990355,0.011149160010972992,0.511149160010973,52.41308329999447,57.424006499990355,57.407728399994085,None,left,0.31261130000348203,57.407728399994085,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
1,barber,7,0,0,0,0,8,0,8,0,,,,,1,1,7,21,21,0,3,1,58.306681199988816,63.3209367999807,0.014258960000006482,0.5142589600000065,58.306681199988816,63.3209367999807,63.30286569998134,None,right,0.34735639998689294,63.30286569998134,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
1,barber,7,0,0,0,0,9,0,9,0,,,,,4,-1,7,17.0625,17,0,1,1,64.23648229998071,69.24736649999977,0.011058460018830374,0.5110584600188304,64.23648229998071,69.24736649999977,69.23096709998208,None,left,0.38692670001182705,69.23096709998208,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
1,barber,7,0,0,0,0,10,0,10,0,,,,,5,1,7,15.75,16,0,1,1,70.2302795999858,75.24217319997842,0.0041867600521072745,0.5041867600521073,70.2302795999858,75.24217319997842,75.22572079999372,None,right,2.5438891999947373,75.22572079999372,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
1,barber,7,0,0,0,0,11,0,11,0,,,,,6,1,7,14.4375,14,0,2,1,78.37203669999144,83.38548969998374,0.007334360008826479,0.5073343600088265,78.37203669999144,83.38548969998374,83.36906099997577,None,right,0.4559869000222534,83.36906099997577,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
1,barber,7,0,0,0,0,12,0,12,0,,,,,2,1,7,19.6875,20,0,3,1,84.41793269998743,89.4304610999825,0.000311999989207834,0.5003119999892078,84.41793269998743,89.4304610999825,89.4304610999825,None,right,0.3904569000005722,89.4304610999825,None,,2021_Feb_18_1703,InterleavedStaircase,2020.2.10,60.163512395851534,
