imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,date,expName,psychopyVersion,frameRate,
1,barber,7,0,0,0,0,0,0,0,0,19.134445899981074,None,20.721961800009012,None,1,-1,7,21,21,0,2,1,23.304284799989546,28.317463599989424,0.0005841499951202422,0.5005841499951202,23.304284799989546,28.317463599989424,28.301376999996137,None,left,0.4291691999824252,28.301376999996137,None,,2021_Feb_18_1710,InterleavedStaircase,2020.2.10,60.27818381731991,
1,barber,7,0,0,0,0,1,0,1,0,,,,,2,1,7,19.6875,20,0,2,1,29.316892100003315,34.32795679999981,0.003034550027223304,0.5030345500272233,29.316892100003315,34.32795679999981,34.31106720000389,None,right,1.0128015999798663,34.31106720000389,None,,2021_Feb_18_1710,InterleavedStaircase,2020.2.10,60.27818381731991,
1,barber,7,0,0,0,0,2,0,2,0,,,,,1,1,7,21,21,0,3,0,35.910082499991404,40.922772399993846,0.0033161499886773527,0.5033161499886774,35.910082499991404,40.922772399993846,40.90605719998712,None,left,1.9517088999855332,40.90605719998712,None,,2021_Feb_18_1710,InterleavedStaircase,2020.2.10,60.27818381731991,
1,barber,7,0,0,0,0,3,0,3,0,,,,,1,1,7,21,21,0,1,1,43.454131200007396,48.46784369999659,0.016320239985361695,0.5163202399853617,43.454131200007396,48.46784369999659,48.451201299991226,None,right,0.29676450000260957,48.451201299991226,None,,2021_Feb_18_1710,InterleavedStaircase,2020.2.10,60.27818381731991,
1,barber,7,0,0,0,0,4,0,4,0,,,,,3,-1,7,18.375,18,0,2,1,49.34913049999159,54.3615051000088,0.008992539980681613,0.5089925399806816,49.34913049999159,54.3615051000088,54.3451271999802,None,left,0.396056800003862,54.3451271999802,None,,2021_Feb_18_1710,InterleavedStaircase,2020.2.10,60.27818381731991,
1,barber,7,0,0,0,0,5,0,5,0,,,,,2,1,7,19.6875,20,0,1,1,55.3281994999852,60.3403272999858,0.015794639999512583,0.5157946399995126,55.3281994999852,60.3403272999858,60.32328929999494,None,right,5.002570899989223,60.32328929999494,None,,2021_Feb_18_1710,InterleavedStaircase,2020.2.10,60.27818381731991,
1,barber,7,0,0,0,0,6,0,6,0,,,,,4,1,7,17.0625,17,0,2,0,65.91911200000322,70.93155029998161,0.001607049984158948,0.501607049984159,65.91911200000322,70.93155029998161,70.91477000000305,None,left,3.660467499983497,70.91477000000305,None,,2021_Feb_18_1710,InterleavedStaircase,2020.2.10,60.27818381731991,
1,barber,7,0,0,0,0,7,0,7,0,,,,,5,-1,7,17.354166666666668,17,0,2,0,75.16091589999269,80.1737856999971,0.0020309500105213374,0.5020309500105213,75.16091589999269,80.1737856999971,80.15736779998406,None,right,0.7239751000015531,80.15736779998406,None,,2021_Feb_18_1710,InterleavedStaircase,2020.2.10,60.27818381731991,
1,barber,7,0,0,0,0,8,0,8,0,,,,,6,-1,7,17.645833333333336,18,0,2,0,81.47266669999226,86.4851931000012,0.003019049996510148,0.5030190499965101,81.47266669999226,86.4851931000012,86.46852160000708,None,right,0.3617441999958828,86.46852160000708,None,,2021_Feb_18_1710,InterleavedStaircase,2020.2.10,60.27818381731991,
