imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,image.started,image.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,ISI_2.started,ISI_2.stopped,text_4.started,text_4.stopped,participant,date,expName,psychopyVersion,frameRate,
decanterStudio,decanterStudio,7,0,0,0,0,0,0,0,0,14.763742700219154,None,16.12300129979849,17.143282500095665,17.13535000011325,None,1,-1,7,0,0,1,2,0,21.74855630006641,24.256017500068992,0.011561529710888863,0.5115615297108889,24.44399969978258,None,None,None,right,3.8713604998774827,21.25633420003578,None,3.005336629692465,3.2053366296924652,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,1,0,1,0,,,,,,,1,-1,7,21,21,0,1,1,25.833934899885207,28.33622660022229,0.009039680007845163,0.5090396800078452,28.524935699999332,31.033930900041014,31.033930900041014,None,left,5.945861499756575,25.338756199926138,None,3.000403679907322,3.200403679907322,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,2,0,2,0,,,,,,,2,1,7,18.375,18,0,1,1,31.98847070010379,34.49750090017915,0.011637379880994558,0.5116373798809946,34.68461850006133,37.19576970022172,37.18385750008747,None,right,6.151631900109351,31.495758700184524,None,3.0077257798984647,3.207725779898465,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,3,0,3,0,,,,,,,1,-1,7,0,0,1,1,0,38.34551650006324,40.84242110000923,0.016287979669868946,0.516287979669869,41.03076059976593,43.54064430017024,43.54064430017024,None,right,5.994245399720967,37.851533100008965,None,3.0005806796252728,3.200580679625273,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,4,0,4,0,,,,,,,2,-1,7,2.625,3,1,2,0,44.65806609997526,47.154094900004566,0.0014934195205569267,0.5014934195205569,47.35563110001385,49.85247270017862,49.85247270017862,None,right,5.979908800218254,44.16264470014721,None,3.0006913198158145,3.2006913198158147,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,5,0,5,0,,,,,,,3,-1,7,15.75,16,0,1,0,50.83336899988353,53.332044899929315,0.002601389307528734,0.5026013893075287,53.53178879991174,56.030202500056475,56.030202500056475,None,right,6.015230899676681,50.339269699994475,None,3.0026161894202232,3.2026161894202234,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,6,0,6,0,,,,,,,1,-1,7,21,21,0,2,1,57.04583550011739,59.54419399984181,0.0010083899833261967,0.5010083899833262,59.74572240002453,62.241666099987924,62.241666099987924,None,left,6.043206099886447,56.55223789997399,None,3.000347590073943,3.2003475900739433,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,7,0,7,0,,,,,,,3,1,7,4.375,4,1,2,0,63.29219269985333,65.78885590005666,0.01581497909501195,0.515814979095012,65.9772809999995,68.48630549991503,68.48630549991503,None,left,5.950777399819344,62.79806989990175,None,3.0012832791544497,3.20128327915445,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,8,0,8,0,,,,,,,4,-1,7,16.333333333333332,16,0,1,1,69.43655860004947,71.93390570022166,0.014559079427272081,0.5145590794272721,72.13311919989064,None,None,None,left,5.034397900104523,68.94366239989176,None,3.01096307951957,3.21096307951957,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,9,0,9,0,,,,,,,2,-1,7,18.375,18,0,2,1,74.67242999980226,77.17961339978501,0.013433880172669888,0.5134338801726699,77.36828149994835,None,None,None,left,3.8367215003818274,74.17699320008978,None,3.009157579857856,3.209157579857856,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
