imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,date,expName,psychopyVersion,frameRate,
1,barber,7,0,0,0,0,0,0,0,0,7.386597900011111,None,8.841002400004072,None,1,1,7,21,21,0,3,0,14.432676199998241,19.436345499998424,0.0028261599654797465,0.5028261599654797,14.432676199998241,19.436345499998424,19.40310120000504,None,left,0.40951150000910275,19.40310120000504,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,1,0,1,0,,,,,1,-1,7,21,21,0,1,1,20.419952600001125,25.43197569999029,0.010437719989567995,0.510437719989568,20.419952600001125,25.43197569999029,25.414924100012286,None,left,0.4901213000121061,25.414924100012286,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,2,0,2,0,,,,,1,1,7,21,21,0,2,1,26.514085000002524,31.526771000004373,0.014791119989240542,0.5147911199892405,26.514085000002524,31.526771000004373,31.510395899997093,None,right,0.43860059999860823,31.510395899997093,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,3,0,3,0,,,,,2,-1,7,15.75,16,0,1,1,32.55926090001594,37.5717135000159,0.0011600599682424217,0.5011600599682424,32.55926090001594,37.5717135000159,37.5717135000159,None,left,0.3320735000015702,37.5717135000159,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,4,0,4,0,,,,,2,-1,7,15.75,16,0,3,1,38.50451470000553,43.51699569998891,0.006285959971137345,0.5062859599711373,38.50451470000553,43.51699569998891,43.50041959999362,None,left,0.5214096000127029,43.50041959999362,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,5,0,5,0,,,,,2,1,7,15.75,16,0,2,1,44.63464269999531,49.6451980000129,0.014749119989573956,0.514749119989574,44.63464269999531,49.6451980000129,49.6285950000165,None,right,0.32233009999617934,49.6285950000165,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,6,0,6,0,,,,,3,1,7,10.5,10,0,1,1,50.56114979999256,55.57355840000673,0.015832619974389672,0.5158326199743897,50.56114979999256,55.57355840000673,55.55718450000859,None,right,0.39473800000268966,55.55718450000859,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,7,0,7,0,,,,,3,1,7,10.5,10,0,3,0,56.55580900001223,61.56852319999598,0.012762019992806017,0.512762019992806,56.55580900001223,61.56852319999598,61.55189540001447,None,left,0.291434599988861,61.55189540001447,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,8,0,8,0,,,,,4,1,7,11.666666666666666,12,0,3,1,62.45154559999355,67.46351349999895,0.006786959973396733,0.5067869599733967,62.45154559999355,67.46351349999895,67.44732510001631,None,right,0.2868263999989722,67.44732510001631,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,9,0,9,0,,,,,3,-1,7,1,1,1,2,0,68.33113460001186,73.34251879999647,0.011167359974933788,0.5111673599749338,68.33113460001186,73.34251879999647,73.32524989999365,None,right,1.0665955999866128,73.32524989999365,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,10,0,10,0,,,,,4,-1,7,1,1,1,2,0,74.97393579999334,79.98739739999291,0.01579835996381007,0.5157983599638101,74.97393579999334,79.98739739999291,79.97029250001651,None,right,0.44107800000347197,79.97029250001651,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,11,0,11,0,,,,,5,-1,7,1,1,1,3,0,81.01951410001493,86.03194770001573,0.001422459987225011,0.501422459987225,81.01951410001493,86.03194770001573,86.03194770001573,None,right,0.3224482999939937,86.03194770001573,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,12,0,12,0,,,,,6,1,7,1,1,1,3,0,86.94766520001576,91.9605489000096,0.004629300005035475,0.5046293000050355,86.94766520001576,91.9605489000096,91.94340519999969,None,left,3.2360568000003695,91.94340519999969,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,13,0,13,0,,,,,4,-1,7,1,1,1,1,0,95.79009660001611,100.80268140000408,0.004832859965972602,0.5048328599659726,95.79009660001611,100.80268140000408,100.78636779999943,None,right,0.5975754000246525,100.78636779999943,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,14,0,14,0,,,,,5,1,7,1,1,1,1,0,101.96915980000631,106.9811924000096,0.016417359962360933,0.5164173599623609,101.96915980000631,106.9811924000096,106.96464730001753,None,left,0.4191075999988243,106.96464730001753,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,15,0,15,0,,,,,5,1,7,1,1,1,2,1,107.98083670000779,112.99356579998857,0.014357859967276454,0.5143578599672765,107.98083670000779,112.99356579998857,112.97599579999223,None,right,2.796106599998893,112.97599579999223,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
1,barber,7,0,0,0,0,16,0,16,0,,,,,7,1,7,1,1,1,3,0,116.35699590001605,121.36934150001616,0.0020536999800242484,0.5020536999800242,116.35699590001605,121.36934150001616,121.36934150001616,None,left,0.6646657999954186,121.36934150001616,None,,2021_Feb_18_1634,InterleavedStaircase,2020.2.10,60.08802896819347,
