imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,barber,7,0,0,0,0,0,0,0,0,13.511376700000255,None,1,-1,7,21,21,0,1,1,14.680677300002571,19.685944700002437,0.00865689999773167,0.5086568999977317,14.680677300002571,19.685944700002437,19.671668599999975,None,left,0.6291904999998224,19.671668599999975,None,,001,2021_Feb_16_1903,InterleavedStaircase,2020.2.10,59.941113850577864,
1,barber,7,0,0,0,0,1,0,1,0,,,1,-1,7,21,21,0,3,1,20.880394899999374,25.88106830000106,0.0007616499933646992,0.5007616499933647,20.880394899999374,25.88106830000106,25.897804500000348,None,left,0.33745120000094175,25.897804500000348,None,,001,2021_Feb_16_1903,InterleavedStaircase,2020.2.10,59.941113850577864,
1,barber,7,0,0,0,0,2,0,2,0,,,1,1,7,21,21,0,2,0,26.83760600000096,31.84262049999961,0.005677419998391997,0.505677419998392,26.83760600000096,31.84262049999961,31.84262049999961,None,left,0.39920060000076774,31.84262049999961,None,,001,2021_Feb_16_1903,InterleavedStaircase,2020.2.10,59.941113850577864,
1,barber,7,0,0,0,0,3,0,3,0,,,2,1,7,21,21,0,2,1,32.8157054000003,37.821322300002066,0.004193950000626501,0.5041939500006265,32.8157054000003,37.821322300002066,37.821322300002066,None,right,0.349536600002466,37.821322300002066,None,,001,2021_Feb_16_1903,InterleavedStaircase,2020.2.10,59.941113850577864,
1,barber,7,0,0,0,0,4,0,4,0,,,3,1,7,1,1,1,2,1,38.749171400002524,43.749709300001996,0.0016614499982097186,0.5016614499982097,38.749171400002524,43.749709300001996,43.749709300001996,None,left,1.5051729999977397,43.749709300001996,None,,001,2021_Feb_16_1903,InterleavedStaircase,2020.2.10,59.941113850577864,
1,barber,7,0,0,0,0,5,0,5,0,,,2,-1,7,1,1,1,1,1,45.85635120000006,50.86051430000225,0.004842020000069169,0.5048420200000692,45.85635120000006,50.86051430000225,50.86051430000225,None,right,0.42647500000020955,50.86051430000225,None,,001,2021_Feb_16_1903,InterleavedStaircase,2020.2.10,59.941113850577864,
1,barber,7,0,0,0,0,6,0,6,0,,,4,1,7,1,1,1,2,1,51.8675175999997,56.87216050000279,0.0048846499958017375,0.5048846499958017,51.8675175999997,56.87216050000279,56.87216050000279,None,left,0.3587571999996726,56.87216050000279,None,,001,2021_Feb_16_1903,InterleavedStaircase,2020.2.10,59.941113850577864,
1,barber,7,0,0,0,0,7,0,7,0,,,3,1,7,1,1,1,1,1,57.811957699999766,62.81724440000107,0.005481449996295851,0.5054814499962959,57.811957699999766,62.81724440000107,62.81724440000107,None,left,0.36057660000005853,62.81724440000107,None,,001,2021_Feb_16_1903,InterleavedStaircase,2020.2.10,59.941113850577864,
1,barber,7,0,0,0,0,8,0,8,0,,,4,-1,7,1,1,1,1,1,63.757699000001594,68.76245159999962,0.006078550002712291,0.5060785500027123,63.757699000001594,68.76245159999962,68.76245159999962,None,right,0.3479275999998208,68.76245159999962,None,,001,2021_Feb_16_1903,InterleavedStaircase,2020.2.10,59.941113850577864,
1,barber,7,0,0,0,0,9,0,9,0,,,5,-1,7,1,1,1,2,1,69.68926740000097,74.69089990000066,0.0012749500019708648,0.5012749500019709,69.68926740000097,74.69089990000066,74.69089990000066,None,right,0.4394151000014972,74.69089990000066,None,,001,2021_Feb_16_1903,InterleavedStaircase,2020.2.10,59.941113850577864,
1,barber,7,0,0,0,0,10,0,10,0,,,5,-1,7,1,1,1,1,0,75.73028420000264,80.7357531000016,0.004903320004814304,0.5049033200048143,75.73028420000264,80.7357531000016,80.7357531000016,None,left,0.350843200001691,80.7357531000016,None,,001,2021_Feb_16_1903,InterleavedStaircase,2020.2.10,59.941113850577864,
1,barber,7,0,0,0,0,11,0,11,0,,,6,1,7,1,1,1,2,1,81.66148330000215,86.66426019999926,0.003630650000559399,0.5036306500005594,81.66148330000215,86.66426019999926,86.66426019999926,None,left,0.31248739999864483,86.66426019999926,None,,001,2021_Feb_16_1903,InterleavedStaircase,2020.2.10,59.941113850577864,
