imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,date,expName,psychopyVersion,frameRate,
1,barber,7,0,0,0,0,0,0,0,0,10.488671400002204,None,11.471792199998163,None,1,1,7,21,21,0,1,1,14.067752800008748,19.078884400005336,0.001132410005084239,0.5011324100050842,14.067752800008748,19.078884400005336,19.062107400008244,None,right,0.26379799999995157,19.062107400008244,None,,2021_Feb_22_1436,InterleavedStaircase,2020.2.10,60.13496691485527,
1,barber,7,0,0,0,0,1,0,1,0,,,,,1,-1,7,0,0,1,2,0,19.94265520000772,24.957044900002074,0.00983881001593545,0.5098388100159355,19.94265520000772,24.957044900002074,24.940430500006187,None,right,0.39970029999676626,24.940430500006187,None,,2021_Feb_22_1436,InterleavedStaircase,2020.2.10,60.13496691485527,
1,barber,7,0,0,0,0,2,0,2,0,,,,,1,1,7,0,0,1,1,0,25.95460520000779,30.968691900008707,0.013243010005680844,0.5132430100056808,25.95460520000779,30.968691900008707,30.935601100005442,None,left,1.1539444999943953,30.935601100005442,None,,2021_Feb_22_1436,InterleavedStaircase,2020.2.10,60.13496691485527,
1,barber,7,0,0,0,0,3,0,3,0,,,,,1,-1,7,21,21,0,3,1,32.69962810000288,37.713510600005975,0.0005378799978643656,0.5005378799978644,32.69962810000288,37.713510600005975,37.713510600005975,None,left,0.3843713999958709,37.713510600005975,None,,2021_Feb_22_1436,InterleavedStaircase,2020.2.10,60.13496691485527,
1,barber,7,0,0,0,0,4,0,4,0,,,,,1,-1,7,0,0,1,3,0,38.7127851999976,43.7251571000088,0.014672310004243627,0.5146723100042436,38.7127851999976,43.7251571000088,43.708348000000115,None,right,0.4765588000009302,43.708348000000115,None,,2021_Feb_22_1436,InterleavedStaircase,2020.2.10,60.13496691485527,
1,barber,7,0,0,0,0,5,0,5,0,,,,,2,1,7,18.375,18,0,1,1,44.80961490000482,49.82033020000381,0.013370640008361079,0.5133706400083611,44.80961490000482,49.82033020000381,49.80324420001125,None,right,0.5674586999957683,49.80324420001125,None,,2021_Feb_22_1436,InterleavedStaircase,2020.2.10,60.13496691485527,
