imageSetLvl,imageSetName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,all,0,0,0,0,0,0,0,0,14.014787599997362,None,1,1,8,24,24,0,1,0,15.58616279999842,20.600790299999062,0.006564139999682084,0.5065641399996821,15.58616279999842,20.600790299999062,20.534646199987037,None,left,0.9094643999997061,20.534646199987037,None,,001,2021_Feb_11_0855,InterleavedStaircase,2020.2.10,60.05075489302205,
1,all,0,0,0,0,1,0,1,0,,,1,1,8,24,24,0,2,0,22.038342599989846,27.045560600003228,0.00920493999728933,0.5092049399972893,22.038342599989846,27.045560600003228,27.045560600003228,None,left,1.2999534999835305,27.045560600003228,None,,001,2021_Feb_11_0855,InterleavedStaircase,2020.2.10,60.05075489302205,
1,all,0,0,0,0,2,0,2,0,,,1,-1,8,24,24,0,3,1,28.92021539999405,33.92320589997689,0.014626800024416298,0.5146268000244163,28.92021539999405,33.92320589997689,33.90706559998216,None,left,0.5549538000195753,33.90706559998216,None,,001,2021_Feb_11_0855,InterleavedStaircase,2020.2.10,60.05075489302205,
1,all,0,0,0,0,3,0,3,0,,,2,1,8,18.0,18,0,1,0,35.07015089999186,40.08478360000299,0.013699279981665313,0.5136992799816653,35.07015089999186,40.08478360000299,40.06866200000513,None,left,1.5305205000040587,40.06866200000513,None,,001,2021_Feb_11_0855,InterleavedStaircase,2020.2.10,60.05075489302205,
1,all,0,0,0,0,4,0,4,0,,,2,-1,8,18.0,18,0,2,1,42.186038099986035,47.19561799999792,0.010489940003026277,0.5104899400030263,42.186038099986035,47.19561799999792,47.17950099997688,None,left,0.39018730001407675,47.17950099997688,None,,001,2021_Feb_11_0855,InterleavedStaircase,2020.2.10,60.05075489302205,
1,all,0,0,0,0,5,0,5,0,,,3,1,8,14.0,14,0,2,0,48.157543999986956,53.157439200003864,0.015763539966428652,0.5157635399664287,48.157543999986956,53.157439200003864,53.157439200003864,None,left,1.362750700005563,53.157439200003864,None,,001,2021_Feb_11_0855,InterleavedStaircase,2020.2.10,60.05075489302205,
1,all,0,0,0,0,6,0,6,0,,,2,1,8,18.0,18,0,3,0,55.09421909999219,60.10172479998437,0.005580900004133582,0.5055809000041336,55.09421909999219,60.10172479998437,60.10172479998437,None,left,7.746266900008777,60.10172479998437,None,,001,2021_Feb_11_0855,InterleavedStaircase,2020.2.10,60.05075489302205,
1,all,0,0,0,0,7,0,7,0,,,4,-1,8,14.8,15,0,2,1,68.44917509998777,73.45741040000576,0.007028239982901141,0.5070282399829011,68.44917509998777,73.45741040000576,73.45741040000576,None,left,2.1479771999875084,73.45741040000576,None,,001,2021_Feb_11_0855,InterleavedStaircase,2020.2.10,60.05075489302205,
