imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,barber,7,0,0,0,0,0,0,0,0,10.035408700001426,None,1,-1,7,21,21,0,3,0,11.10271719999946,16.109379500001523,0.008362070002476685,0.5083620700024767,11.10271719999946,16.109379500001523,16.094426600000588,None,right,0.7292242000003171,16.094426600000588,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,1,0,1,0,,,1,-1,7,21,21,0,1,1,17.421043800000916,22.420075300000462,0.0008549800004402641,0.5008549800004403,17.421043800000916,22.420075300000462,22.437164400002075,None,left,0.247166199998901,22.437164400002075,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,2,0,2,0,,,1,-1,7,21,21,0,2,1,23.27516310000283,28.282678499999747,0.008251179999206215,0.5082511799992062,23.27516310000283,28.282678499999747,28.282678499999747,None,left,0.6652123999992909,28.282678499999747,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,3,0,3,0,,,2,1,7,15.75,16,0,1,1,29.551004299999477,34.56087870000192,0.010259310001856647,0.5102593100018566,29.551004299999477,34.56087870000192,34.545822000000044,None,right,0.30910799999765004,34.545822000000044,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,4,0,4,0,,,3,1,7,1,1,1,1,1,35.45124030000079,40.455666000001656,0.004917879999993602,0.5049178799999936,35.45124030000079,40.455666000001656,40.455666000001656,None,left,5.229563599998073,40.455666000001656,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,5,0,5,0,,,2,1,7,1,1,1,3,1,46.27223310000045,51.280300700000225,0.00960968000072171,0.5096096800007217,46.27223310000045,51.280300700000225,51.26595630000156,None,left,0.38087240000095335,51.26595630000156,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,6,0,6,0,,,3,-1,7,1,1,1,3,1,52.2185845999993,57.2255210000003,0.006937350000953302,0.5069373500009533,52.2185845999993,57.2255210000003,57.2255210000003,None,right,0.3948891999971238,57.2255210000003,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,7,0,7,0,,,2,-1,7,1,1,1,2,1,58.19858100000056,63.203981400001794,0.0057615500008978415,0.5057615500008978,58.19858100000056,63.203981400001794,63.203981400001794,None,right,0.415246800002933,63.203981400001794,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,8,0,8,0,,,4,-1,7,1,1,1,3,1,64.19204820000232,69.19900179999968,0.007342149994656211,0.5073421499946562,64.19204820000232,69.19900179999968,69.19900179999968,None,right,1.4985615000005055,69.19900179999968,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,9,0,9,0,,,3,-1,7,1,1,1,2,1,71.28679790000024,76.29326380000202,0.004877079998550471,0.5048770799985505,71.28679790000024,76.29326380000202,76.29326380000202,None,right,0.28664910000225063,76.29326380000202,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,10,0,10,0,,,5,1,7,1,1,1,3,1,77.16566960000273,82.17162210000242,0.006945150005776668,0.5069451500057767,77.16566960000273,82.17162210000242,82.17162210000242,None,left,0.34635849999904167,82.17162210000242,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,11,0,11,0,,,6,-1,7,1,1,1,3,1,83.10777530000269,88.11667070000112,0.00928317999932915,0.5092831799993291,83.10777530000269,88.11667070000112,88.10234110000238,None,right,0.33404739999969024,88.10234110000238,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,12,0,12,0,,,4,1,7,1,1,1,1,1,89.02398240000184,94.02828670000235,0.004846750001888722,0.5048467500018887,89.02398240000184,94.02828670000235,94.02828670000235,None,left,0.32339619999766,94.02828670000235,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,13,0,13,0,,,5,-1,7,1,1,1,1,1,94.95578039999964,99.95668980000119,0.0022588799984077923,0.5022588799984078,94.95578039999964,99.95668980000119,99.95668980000119,None,right,0.37270360000184155,99.95668980000119,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,14,0,14,0,,,6,1,7,1,1,1,1,1,100.91757119999966,105.91871030000038,0.001241650003066752,0.5012416500030668,100.91757119999966,105.91871030000038,105.91871030000038,None,left,0.2903200000000652,105.91871030000038,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,15,0,15,0,,,7,-1,7,1,1,1,3,1,106.79277300000103,111.79691079999975,0.005440549997729249,0.5054405499977292,106.79277300000103,111.79691079999975,111.79691079999975,None,right,0.34432680000099936,111.79691079999975,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,16,0,16,0,,,4,1,7,1,1,1,2,1,112.72217050000108,117.72525470000255,0.003149550004309276,0.5031495500043093,112.72217050000108,117.72525470000255,117.72525470000255,None,left,0.3883918999999878,117.72525470000255,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,17,0,17,0,,,8,1,7,1,1,1,3,1,118.71244840000145,123.72076990000278,0.008954979995905887,0.5089549799959059,118.71244840000145,123.72076990000278,123.72076990000278,None,left,0.5867718999979843,123.72076990000278,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
1,barber,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,0,0,0,0,,,1,1,4,12,12,0,1,1,124.88196900000185,129.88217550000263,0.0014110200027062092,0.5014110200027062,124.88196900000185,129.88217550000263,129.88217550000263,None,right,0.3029671000003873,129.88217550000263,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,1,0,1,0,,,1,1,4,12,12,0,3,0,130.75614750000022,135.7607519000012,0.005123120005009696,0.5051231200050097,130.75614750000022,135.7607519000012,135.7607519000012,None,left,1.3640272999982699,135.7607519000012,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,2,0,2,0,,,2,-1,4,12,12,0,3,1,137.69062900000063,142.68815019999965,0.014010550003149547,0.5140105500031495,137.69062900000063,142.68815019999965,142.68815019999965,None,left,0.6606815999984974,142.68815019999965,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,3,0,3,0,,,1,1,4,12,12,0,2,1,143.92453030000252,148.93290519999937,0.009205750000546686,0.5092057500005467,143.92453030000252,148.93290519999937,148.93290519999937,None,right,0.4856523999987985,148.93290519999937,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
