imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,date,expName,psychopyVersion,frameRate,
1,barber,7,0,0,0,0,0,0,0,0,7.485100500009139,None,7.855652600002941,None,1,-1,7,0,0,1,3,0,10.439875700001721,15.447029400005704,0.012345440001809038,0.512345440001809,10.439875700001721,15.447029400005704,15.413814100000309,None,right,0.3318417000118643,15.413814100000309,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,1,0,1,0,,,,,1,-1,7,0,0,1,1,0,16.361600600008387,21.37377240000933,0.016172720002941787,0.5161727200029418,16.361600600008387,21.37377240000933,21.358141300006537,None,right,0.32579299999633804,21.358141300006537,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,2,0,2,0,,,,,2,-1,7,2.625,3,1,1,0,22.29014100000495,27.303175000008196,0.001515240001026541,0.5015152400010265,22.29014100000495,27.303175000008196,27.303175000008196,None,right,0.3047145000018645,27.303175000008196,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,3,0,3,0,,,,,1,1,7,0,0,1,2,0,28.236142499998095,33.24760790000437,0.012065019996953197,0.5120650199969532,28.236142499998095,33.24760790000437,33.23065979999956,None,left,0.4385676000092644,33.23065979999956,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,4,0,4,0,,,,,1,-1,7,21,21,0,1,1,34.280886399996234,39.2923684999987,0.014505230006761849,0.5145052300067618,34.280886399996234,39.2923684999987,39.27570569999807,None,left,0.31552250000822823,39.27570569999807,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,5,0,5,0,,,,,2,-1,7,2.625,3,1,2,0,40.19204710000486,45.20563050000055,0.007547539993538521,0.5075475399935385,40.19204710000486,45.20563050000055,45.18864970000868,None,right,0.32775159999437165,45.18864970000868,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,6,0,6,0,,,,,2,-1,7,18.375,18,0,1,1,46.120276500005275,51.133425799998804,0.015265630005160347,0.5152656300051603,46.120276500005275,51.133425799998804,51.116634100006195,None,left,0.30053740000585094,51.116634100006195,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,7,0,7,0,,,,,3,-1,7,15.75,16,0,1,1,52.0189495000086,57.02879860000394,0.011152830003993586,0.5111528300039936,52.0189495000086,57.02879860000394,57.01196240000718,None,left,0.32960240000102203,57.01196240000718,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,8,0,8,0,,,,,3,-1,7,5.25,5,1,2,0,57.960584900007234,62.973863300008816,0.002645430024131201,0.5026454300241312,57.960584900007234,62.973863300008816,62.95743360000779,None,right,0.296347199997399,62.95743360000779,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,9,0,9,0,,,,,2,1,7,2.625,3,1,3,0,63.85585269999865,68.86851139999635,0.0010914399899775162,0.5010914399899775,63.85585269999865,68.86851139999635,68.86851139999635,None,left,0.2540434999973513,68.86851139999635,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,10,0,10,0,,,,,1,1,7,21,21,0,2,1,69.73439979999966,74.74661190000188,0.004948439993313514,0.5049484399933135,69.73439979999966,74.74661190000188,74.7299725000048,None,right,0.29123380000237375,74.7299725000048,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,11,0,11,0,,,,,2,-1,7,18.375,18,0,2,1,75.64532560000953,80.65936550000333,0.012140830003772862,0.5121408300037729,75.64532560000953,80.65936550000333,80.6259343999991,None,left,0.35092539999459404,80.6259343999991,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,12,0,12,0,,,,,3,1,7,5.25,5,1,1,0,81.57811679999577,86.58794990000024,0.012607630007551052,0.512607630007551,81.57811679999577,86.58794990000024,86.57092330000887,None,left,0.33877129999746103,86.57092330000887,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,13,0,13,0,,,,,3,-1,7,5.25,5,1,3,1,87.51980710000498,92.53302600000461,0.015706230013165623,0.5157062300131656,87.51980710000498,92.53302600000461,92.51630750000186,None,left,0.2992480999964755,92.51630750000186,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,14,0,14,0,,,,,1,1,7,21,21,0,3,1,93.39823819999583,98.41143649999867,0.002499350011930801,0.5024993500119308,93.39823819999583,98.41143649999867,98.39472989999922,None,right,0.33898060000501573,98.39472989999922,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,15,0,15,0,,,,,4,-1,7,4.666666666666667,5,1,3,1,99.34339300000283,104.35547570000926,0.014929330020095222,0.5149293300200952,99.34339300000283,104.35547570000926,104.33895309999934,None,left,0.3208969999977853,104.33895309999934,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,16,0,16,0,,,,,3,1,7,16.625,17,0,2,1,105.27158549999876,110.28500730000087,0.016607029989245348,0.5166070299892453,105.27158549999876,110.28500730000087,110.26859279999917,None,right,0.30967640000744723,110.26859279999917,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,17,0,17,0,,,,,4,-1,7,7.0,7,1,1,0,111.18313679999846,116.19694219999656,0.014454930002102628,0.5144549300021026,111.18313679999846,116.19694219999656,116.18032959999982,None,right,0.29752979999466334,116.18032959999982,None,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
1,barber,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Feb_22_1500,InterleavedStaircase,2020.2.10,59.70266876903176,
,,,,,,,,,,,,,116.49621530000877,None,,,,,,,,,,,,,,,,,,,,,,,,,,
